"country","iso2c","iso3c","year","arrivals","gdp_pc","gdp_growth","reer","population"
"France","FR","FRA",2013,204410000,36256.086680981,0.781756446231,97.3727480526189,65997932
"France","FR","FRA",2014,206599000,36444.3949089146,0.997832947295251,97.3564683336898,66312067
"France","FR","FRA",2015,203302000,36702.4323733379,1.06675474783462,92.031764080037,66548272
"France","FR","FRA",2016,203042000,36920.5342846914,0.860031075424033,93.0077153016663,66724104
"France","FR","FRA",2017,207274000,37580.5979329356,2.08361485997399,93.5006232145984,66918020
"France","FR","FRA",2018,211998000,38062.4435961412,1.64590872395887,95.5502149924322,67158348
"France","FR","FRA",2019,217877000,38705.2072940618,2.02744646419237,93.8558393193389,67382061
"France","FR","FRA",2020,117109000,35709.2045925926,-7.44064589948231,94.8959862011926,67601110
"Germany","DE","DEU",1995,14847000,32007.145402934,1.50499384201356,121.152800276608,81678051
"Germany","DE","DEU",1996,15205000,32245.8608379557,1.0378755674358,116.736431183061,81914831
"Germany","DE","DEU",1997,15837000,32795.7833455165,1.85432238398302,110.114222219004,82034771
"Germany","DE","DEU",1998,16511000,33477.9856458764,2.09561231172233,110.290983608275,82047195
"Germany","DE","DEU",1999,17116000,34168.8308210083,2.12957016297766,106.817660673489,82100243
"Germany","DE","DEU",2000,18983000,35104.1308467844,2.8765231247659,99.6117427408472,82211508
"Germany","DE","DEU",2001,17861000,35618.5143698493,1.63614170690956,99.6364464939522,82349925
"Germany","DE","DEU",2002,17969000,35477.5151544301,-0.228255715793637,100.693371864789,82488495
"Germany","DE","DEU",2003,18399000,35270.0227284267,-0.529801394291297,106.05682417872,82534176
"Germany","DE","DEU",2004,20137000,35687.6378708542,1.16208684507278,107.52437590067,82516260
"Germany","DE","DEU",2005,21500000,36024.0947047021,0.885485292551564,105.113273412166,82469422
"Germany","DE","DEU",2006,23569000,37459.261328042,3.86668241523209,104.141922440445,82376451
"Germany","DE","DEU",2007,24421000,38593.0749910508,2.8891174138025,105.676481951507,82266372
"Germany","DE","DEU",2008,24884000,39009.8477636357,0.887902330743628,105.760381053813,82110097
"Germany","DE","DEU",2009,24220000,36940.4078672661,-5.54455451920674,106.338837043081,81902307
"Germany","DE","DEU",2010,26875000,38526.7371042695,4.13463778522758,99.9999999999999,81776930
"Germany","DE","DEU",2011,28374000,40722.4849268242,3.75796884489337,98.9534912058027,80274983
"Germany","DE","DEU",2012,30411000,40834.5088218456,0.463512036709204,95.3246001905894,80425823
"Germany","DE","DEU",2013,31545000,40884.8926759028,0.396995583779145,97.6467189010118,80645605
"Germany","DE","DEU",2014,32999000,41602.4661281668,2.18018602168017,98.2748265738675,80982500
"Germany","DE","DEU",2015,34970000,41929.7549110722,1.66300602334775,92.4708405590837,81686611
"Germany","DE","DEU",2016,35555000,42516.9337063103,2.22222216259371,94.0630173746557,82348669
"Germany","DE","DEU",2017,37452000,43543.4807050551,2.797906720551,94.8952199262048,82657002
"Germany","DE","DEU",2018,38881000,43905.8550061973,1.13569604599849,97.013263901937,82905782
"Germany","DE","DEU",2019,39563000,44235.2658954682,0.977734697038784,95.4134918324131,83092962
"Germany","DE","DEU",2020,12449000,42372.8726784255,-4.13191443239947,96.2889493399605,83160871
"Greece","GR","GRC",1995,10712000,15857.4161930856,2.09971953235275,90.4687254850442,10562153
"Greece","GR","GRC",1996,9782000,16005.9511569711,1.38247057325857,94.4214994750667,10608800
"Greece","GR","GRC",1997,10588000,16501.0316491318,3.60288326516122,94.1163652764689,10661259
"Greece","GR","GRC",1998,11364000,16973.8293714071,3.43693579661333,91.4500161465127,10720509
"Greece","GR","GRC",1999,12606000,17358.4346978294,2.65878562321184,91.4269193893441,10761698
"Greece","GR","GRC",2000,13567000,18002.9064613985,4.13782699405849,85.1583562027973,10805808
"Greece","GR","GRC",2001,14678000,18742.4235780691,4.65041459442163,86.2167124359382,10862132
"Greece","GR","GRC",2002,14918000,19548.3677447396,4.68313727063017,88.8594810136268,10902022
"Greece","GR","GRC",2003,14785000,20632.2557041942,5.79682274294369,94.7083147412155,10928070
"Greece","GR","GRC",2004,14268000,21688.1050959558,5.37786634595851,96.2960771218705,10955141
"Greece","GR","GRC",2005,15938000,21880.5265835801,1.18350635493289,96.0924038280014,10987314
"Greece","GR","GRC",2006,17284000,23220.5324419197,6.44339762487436,96.6470443107287,11020362
"Greece","GR","GRC",2007,NA,23973.6936091313,3.50686976639459,97.8931501762818,11048473
"Greece","GR","GRC",2008,NA,23923.8800731311,0.0574740238200775,99.4643051347734,11077841
"Greece","GR","GRC",2009,NA,22878.1346644397,-4.11927606715011,100.772658502184,11107017
